Id,target,1,2,3,4,5,6,7
86,0.61,0.49,0.4,,,,,
87,1.45,1.4,0.55,,,,,
90,0.5,0.47,0.38,,,,0.75,0.74
91,0.73,0.92,0.42,,,,,
93,0.77,0.7,0.82,0.38,1.31,,0.31,0.26
96,0.3,0.36,0.37,,,,,
98,0.91,1.12,1.71,1.04,4.16,,,
99,0.72,0.76,0.98,,,2.7,0.22,0.38
102,0.38,0.27,0.26,4.28,4.15,,,
103,0.19,0.14,0.34,,,1.82,0.2,0.23
105,0.48,0.45,0.48,,,1.91,0.3,0.26
107,0.11,0.16,0.13,0.11,2.53,,,
108,0.24,0.23,0.28,,,,,
109,0.48,0.72,0.72,0.93,5.55,,,
110,0.32,0.24,0.26,,,5.17,0.37,0.38
111,0.86,0.99,0.82,,,,,
112,1.04,0.5,0.2,,,,,
114,0.28,0.24,0.22,,,,,
116,0.36,0.31,0.28,,,,,
117,0.34,0.41,0.2,0.12,2.57,,0.01,0.05
118,0.34,0.5,0.72,,,,,
120,0.58,0.58,0.6,,,,,
121,0.36,0.18,0.05,,,,,
122,0.32,0.34,0.36,,,,,
124,0.86,0.36,0.88,,,1.25,,
125,0.38,0.22,0.36,,,,,
128,0.48,0.09,0.91,,,,,
130,0.24,0.21,0.03,,,,0.04,0.09
131,0.25,0.22,0.22,,,,,
132,0.46,0.62,0.76,,,,,
133,1.09,1.02,1.3,,,,,
134,0.33,0.49,0.31,4.14,3.8,7.28,0.46,0.69
137,0.97,,,,,2.88,0.54,
142,0.3,0.25,0.9,0.71,7.85,12.42,0.21,0.51
145,0.25,0.33,0.21,,,,1.06,1.86
146,0.85,0.29,1.01,,,,,
147,1.3,1.3,2.2,1.16,8.62,12.18,0.31,1.57
148,0.38,0.24,0.42,,,,0.54,0.97
149,0.18,0.14,0.15,,,,,
150,0.25,0.22,0.2,,,,,
151,0.4,0.28,0.16,0.81,7.78,14.2,0.54,0.8
153,0.12,0.12,0.12,1.35,2.3,5.4,,
154,1.09,0.76,1.0,,,,,
157,0.13,0.15,0.09,1.3,3.98,9.37,1.45,1.27
158,0.19,0.23,0.24,0.9,2.06,5.92,0.33,0.82
159,0.16,0.2,0.21,,,,,
160,0.09,0.08,0.11,,,,,
161,0.29,0.22,0.21,,,,,
162,0.12,0.15,0.22,0.45,2.1,5.14,0.63,0.62
163,0.14,0.18,0.12,,,,,
165,0.15,0.1,0.16,,,,,
166,0.04,0.04,0.02,0.65,3.85,5.85,0.28,0.44
169,0.2,0.24,0.24,0.44,5.86,5.07,,
170,0.38,0.35,0.32,,,,,
171,0.17,0.21,0.18,1.46,4.39,6.39,1.25,0.85
173,0.17,0.2,0.16,,,,,
174,0.15,0.14,0.12,,,,,
176,0.18,0.17,0.23,0.56,5.56,8.66,0.53,0.34
178,0.7,0.71,1.12,,,,,
179,0.17,0.14,0.2,0.68,13.97,24.22,0.37,0.29
181,1.46,1.23,1.36,,,,,
183,0.27,0.26,0.22,,,,,
184,0.26,0.22,0.18,2.74,4.19,5.2,0.36,0.53
186,0.18,0.17,0.14,,,,,
187,1.42,1.59,1.83,,,,,
191,1.62,1.48,1.99,,,,,
194,0.15,0.18,0.2,0.61,17.59,24.32,0.35,0.98
196,0.31,0.33,0.29,0.14,,17.14,,
197,0.32,0.3,0.3,1.64,0.52,16.64,1.28,0.43
198,0.21,0.22,0.21,,,,,
199,0.29,0.25,0.22,,,,,
201,0.81,1.17,1.84,,,,,
202,1.65,1.49,2.6,1.85,10.09,14.52,0.38,0.84
203,0.3,0.31,0.28,,,,,
204,0.64,0.52,0.86,0.7,21.97,30.26,0.57,1.05
205,0.12,0.16,0.15,,,,,
207,0.25,0.25,0.19,,,,,
208,0.44,0.38,1.9,,,,,
211,0.3,0.37,0.5,,,,,
212,1.5,2.4,3.6,,,,,
213,0.52,0.31,0.5,,,,,
214,0.17,0.19,0.26,,,,,
